,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
Naan,곡류및그제품,262,10.3,3.4,47.6,2,11,0.8,530,0,0.13,0.06,0,810,190
"Cakes, Fruits",곡류및그제품,324,2.9,9.1,61.6,3.7,33,2.07,101,7.25,0.05,0.099,0.5,0,0
"Cakes, Roll",곡류및그제품,369,7.51,20.22,39.24,6.3,32,0.87,162,78.16666667,0.031,0.17,0,3207.96,676.13
"Cakes, Pear",곡류및그제품,296,6.2,10.8,43.5,0,34,1,277,11,0.17,0.11,0,0,0
"Cakes, Whipping cream and blueberries",곡류및그제품,280,3.03,18.88,24.39,0.8,44,0.45,67,131.1666667,0.026,0.16,2.36,1595.74,184.31
"Cakes, Shortened",곡류및그제품,327,7.1,13.8,43.6,0.6,32,0.7,79,81,0.02,0.11,0,760,60
"Cakes, Sponge",곡류및그제품,352,6.6,15.2,47.2,0,34,0.9,172,79.91666667,0.05,0.12,0,0,0
"Cakes, Angel food",곡류및그제품,258,5.9,0.8,57.8,1.5,140,0.52,749,0,0.102,0.491,0,0,0
"Cakes, Chocolate",곡류및그제품,417,5.23,22.09,49.31,0.7,54,2.65,146,69.25,0.065,0.13,0,961.53,65.16
"Cakes, Cheese",곡류및그제품,331,5.87,21.32,28.82,0.7,100,0.78,240,133.4166667,0.036,0.221,0,1493.34,169.67
"Cakes, Pound",곡류및그제품,408,5.66,20.71,49.65,0.9,52,0.74,207,147.25,0.059,0.143,0,2165.71,610.65
"Cakes, Pancake",곡류및그제품,227,6.4,9.7,28.3,0,219,1.8,439,53,0.201,0.281,0.3,0,0
"Pasta, Macaroni, Dry noodle",곡류및그제품,380,12.2,0.4,77.1,0,2,1.3,2,0,0.13,0.05,0,0,0
"Pasta, Macaroni, Dry noodle, Boiled",곡류및그제품,126,3.8,0.2,25.8,0,5,0.5,5,0,0.03,0.01,0,0,0
"Pasta, Spaghetti, Dry noodle",곡류및그제품,365,11.78,1.28,76.64,2.7,24,1.31,2,0.5,0.076,0.047,0,679.99,45.73
"Pasta, Spaghetti, Dry noodle, Boiled",곡류및그제품,129,3.8,0,26.9,0,5,0.7,7,0,0.05,0.01,0,0,0
"Barley, Dusan8, Polished, Raw",곡류및그제품,352,10,1,78,0,24,1.7,18,0,0.27,0.07,0,0,0
"Barley, Glutinous barley, Seodunchalbori, Polished, Raw",곡류및그제품,354,9.7,1.1,78.5,0,26,2.9,13,0,0.36,0.11,0,0,0
"Barley, Naked barley, Raw",곡류및그제품,342,9.3,1.81,74.39,12.8,30,2.59,4,0,0.057,0.162,0,898.97,68.85
"Barley, Hulled, Rolled ",곡류및그제품,343,8.74,1.66,75.38,11,30,2.4,9,0.083333333,0.234,0.051,0,800.68,60.54
"Barley, Hulled, Cut polished ",곡류및그제품,354,9.3,1.67,77.71,17,31,2.02,11,0.25,0.216,0.064,0,815.5,60.11
"Barley, Roasted",곡류및그제품,360,12.7,2.6,74.1,0,26,18.9,0,0,2.42,0,0,0,0
"Barley, Powder",곡류및그제품,357,11.16,1.83,76.48,12.8,35,2.44,20,0,0.39,0.119,0,949.24,69.14
"Barley, Include hulls, Powder",곡류및그제품,364,10.95,2.99,76.09,22.1,48,7.68,17,0.583333333,0.084,0.205,0,1513.74,121.18
"Barley, Parched powder",곡류및그제품,398,14.52,5.48,76.17,12.8,54,3.99,6,0,0.028,0.473,0,2636.35,436.67
"Barley, Malt, Dried",곡류및그제품,358,14.65,2.71,71.68,20.4,48,8.63,10,6.166666667,0.805,0.391,0,1403.73,171.48
"Barley, Glutinous barley, Polished, Raw",곡류및그제품,346,11.87,2.15,72.29,13.6,34,3.37,5,0,0.119,0.181,0.47,1122.25,89
"Barley, Tetrastichum barley, Polished, Raw",곡류및그제품,346,9.79,1.77,75.08,20.8,30,2.44,6,0,0.031,0.088,0,865.75,60.16
"Barley, Glutinous barley, Cut polished ",곡류및그제품,362,8.5,1,82,0,28,1.8,7,5.75,0.32,0.15,0,0,0
"Sorghum, Whole grain, Raw",곡류및그제품,360,10.5,3.1,76.5,0,10,2.1,4,0,0.32,0.11,0,0,0
"Sorghum, Polished, Raw",곡류및그제품,338,9.85,2.96,71.5,10.3,9,2.28,2,0.75,0.352,0.196,0,1343.41,65.28
"Glutinous sorghum, Polished, Raw",곡류및그제품,353,9.7,1.2,79.2,0,11,2.4,14,4.583333333,0.33,0.13,0,0,0
"Sorghum, Rice cake, Ball cake",곡류및그제품,218,8.2,1.4,43.1,0,14,9.6,238,0,0.09,0.03,0,0,0
"Breakfast Cereals, Corn, Almond",곡류및그제품,426,7.3,9.29,78.18,4.4,35,7.83,379,510.6666667,1.052,4.384,107.16,1614.52,15.44
"Breakfast Cereals, Corn",곡류및그제품,378,5.11,0.59,88.05,2.5,3,8.96,434,2431,5.069,2.66,201.26,272.02,18.22
"Breakfast Cereals, Brown rice",곡류및그제품,394,6.8,2.79,85.33,3.3,11,8.97,551,1008,1.616,3.404,155.27,975.58,40.56
"Breakfast Cereals, Corn, Granola, Coconut",곡류및그제품,434,5.56,9.75,80.93,4.7,19,7.31,279,390.25,1.869,4.725,179.55,1132.76,46.13
"Breakfast Cereals, Cereals, Corn, Granola, Dry fruit mix",곡류및그제품,395,5.81,3.65,84.66,3.3,41,11.95,390,1605.166667,1.849,3.073,190.89,417.49,24.9
"Breakfast cereals, Rice",곡류및그제품,390,6.65,1.68,86.99,1.9,259,18.75,625,1208,3.427,1.397,169.96,859.24,45.87
"Breakfast cereals, Corn, Whole wheat, Cocoa powder",곡류및그제품,407,6.08,4.34,85.78,4.6,203,7.65,232,789.75,3.076,5.185,222.84,615.72,44.72
"Amaranth, Yellow, Dried",곡류및그제품,383,17.09,5.94,67.27,13.8,252,9.79,0,4.75,0.752,0.073,4.04,2166.12,36.49
"Amaranth, Red, Dried",곡류및그제품,381,16.47,5.78,67.59,16.4,287,9.21,0,4,0.767,0.087,3.57,2212.19,30.8
"Sweet corn, Raw",곡류및그제품,109,3.8,0.5,23.4,0,21,1.8,1,13,0.23,0.14,0,0,0
"Sweet corn, Steamed",곡류및그제품,135,4.2,0.7,29.1,0,21,2.1,1,12,0.08,0.03,0,0,0
"Corn, Raw",곡류및그제품,178,5.34,2.06,36.26,4.9,4,1.01,0,0.25,0.484,0.089,5.43,920.99,25.6
"Corn, Dried",곡류및그제품,348,9.7,3.8,71.9,0,25,2.1,1,23.58333333,0.33,0.11,0,0,0
"Corn, Steamed",곡류및그제품,173,5.11,2.19,34.89,5.7,4,0.95,0,0.666666667,0.12,0.077,2.07,1044.8,33.9
"Corn, Roasted",곡류및그제품,372,8.9,3.9,78.3,0,0,1.5,1,25.33333333,0.38,0,0,0,0
"Glutinous corn, Raw",곡류및그제품,142,4.9,1.2,29.4,0,21,2.2,1,4.333333333,0.25,0.11,0,0,0
"Glutinous corn, Dried",곡류및그제품,371,11.5,4.6,74.7,0,8,1.8,2,16.91666667,0.13,0.15,4,0,0
"Glutinous corn, Steamed",곡류및그제품,132,6.6,1.4,25.4,0,21,2.3,1,3.5,0.08,0.07,0,0,0
"Corn, Powder",곡류및그제품,364,7.32,0.97,83.3,1.9,5,0.73,2,31.58333333,0.007,0.027,0,504.09,23.55
"Corn, Cream, Canned ",곡류및그제품,84,1.7,0.5,18.6,1.8,2,0.4,260,1.166666667,0.02,0.05,3,230,7
"Corn, Whole kernel, Canned",곡류및그제품,82,2.3,0.5,17.8,3.3,2,0.4,210,1.583333333,0.03,0.05,2,140,7
"Corn, Sweetened, Canned ",곡류및그제품,105,2.07,0.73,22.45,1.3,2,0.35,206,1.166666667,0,0.118,4.75,253.35,14.64
"Corn, Popped corn",곡류및그제품,401,7.16,3.25,87.9,0.4,2,1.55,51,0,0,0.389,0,1636.19,62.4
"Corn, Corn chip",곡류및그제품,538,6.17,33.36,56.9,4,138,1.2,514,1.666666667,0.047,0.078,0,16036,264
"Corn, Popcorn",곡류및그제품,536,7.6,30.6,57.6,0,10,1.9,784,1.166666667,0.12,0.05,0,0,0
"Corn, Popcorn, Microwaved",곡류및그제품,497,8.12,27.28,61.18,10.9,6,2.03,315,2.666666667,0.011,0,0,3942.69,176.02
"Corn, Popcorn, Dried",곡류및그제품,373,11.5,4.1,76.3,0,13,2.1,2,19.5,0.11,0.11,0,0,0
Corn Starch jelly,곡류및그제품,55,1.1,0,12.6,0,154,0.7,28,0,0.02,0.01,0,0,0
"Corn, Corn salad",곡류및그제품,104,3.2,0.2,22.4,0,1,0.6,330,0,0,0.14,0,0,0
"Job's tears(Coix lacryma-jobi), Polished, Raw ",곡류및그제품,377,15.4,3.2,70.5,0,10,3.7,4,0,0.32,0.07,0,0,0
"Job's tears(Coix lacryma-jobi) noodle, Dry noodle",곡류및그제품,368,13.2,1.2,74.6,0,16,1.1,2323,0,0.26,0.02,0,0,0
"Gruel, Job's Tears, Cooked",곡류및그제품,44,0.5,0.4,9.5,0,11,0.5,0,0,0.01,0.01,0,0,0
"Mixed Grains(Brown rice, glutinous rice, brown glutinous rice, barley), Raw",곡류및그제품,358,9.79,2.09,73.4,6.2,27,1.66,4,0.416666667,0.187,0.078,0,951.97,104.32
"Nonglutinous millet, Polished, Raw",곡류및그제품,372,10.7,3.7,72.81,5.9,15,3.64,1,1.916666667,0.599,0.166,0,2336.28,119.63
"Nonglutinous millet, Polished, Steamed",곡류및그제품,115,3.14,1.13,22.71,2.7,8,1.31,1,0.333333333,0.088,0.018,0.14,704.95,35.36
"Glutinous millet, Polished, Raw",곡류및그제품,360,9.58,3.59,71.14,5.1,14,3.79,1,1.75,0.51,0.162,0,2339.8,128.79
"Glutinous rice, Powder",곡류및그제품,375,6.44,0.57,82.08,0.8,10,0.07,3,0,0.064,0.024,0,235.04,8.7
"Glutinous rice, Raw",곡류및그제품,377,7.4,0.4,81.9,0,4,2.2,3,0,0.14,0.08,0,0,0
"Brown glutinous rice, Raw",곡류및그제품,361,7.3,2.8,75.7,0,15,1.3,5,0,0.33,0.05,0,0,0
"Roated grain mixrture, Glutinous rice, Powder",곡류및그제품,386,9,1.7,83.6,0,39,2,3,0,0.11,0.07,0,0,0
"Glutinous rice, Hwaseonchalbyeo, Raw",곡류및그제품,375,9.5,2.6,75.2,0,9,2.1,26,0,0.4,0.09,0,0,0
"Glutinous rice, Dongjinchalbyeo, Raw",곡류및그제품,363,6.64,1.04,78.16,1.9,7,0.38,1,0,0.135,0.044,0,413.42,15.6
"Brown glutinous rice, Dongjinchalbyeo, Raw",곡류및그제품,357,7.14,2.18,76.22,6.2,10,1.18,1,0,0.296,0.055,0,814.22,33.11
"Glutinous rice cookie, Dasik(Korean tea confectionery), Black sesame",곡류및그제품,475,13.8,25.2,48.3,0,544,7.8,17,0,0.55,0.14,0,0,0
"Glutinous rice cookie, Dasik(Korean tea confectionery), Pine pollen",곡류및그제품,343,4.4,2.3,76.1,0,14,1.6,29,0,0.01,0.02,0,0,0
"Glutinous rice cookie, Sanja(Fried dough of sweet rice rolled in popped rice)",곡류및그제품,417,2,11.8,75.6,0,3,0.7,28,0,0,0,0,0,0
"Glutinous rice cookie, Yugwa(Deep-fried mixture of grain flour and honey)",곡류및그제품,411,1.96,10.37,77.49,0.8,26,1.62,18,0,0,0,0.02,5186.89,676.75
"Glutinous rice cookie, Glutinous rice cracker",곡류및그제품,446,7.8,10.7,79.6,0,12,0.6,144,0,0.08,0.05,0,0,0
"Glutinous rice noodle, Black glutinous rice noodle",곡류및그제품,334,8.1,0.3,74.6,0,34,27,1975,0,0.24,0.05,0,0,0
Glutinous rice cake with red bean paste,곡류및그제품,246,4.81,1.75,52.65,2.5,12,0.58,262,0,0.007,0.028,0,963.02,252.79
"Glutinous rice cake, Gyeongdan(Sweet glutinous rice ball), Coat with castella powder",곡류및그제품,237,4.1,1.8,51.1,0,14,0.8,185,2.916666667,0.03,0.03,0,0,0
"Glutinous rice cake, Assorted glutinous rice cake",곡류및그제품,223,5.7,1.2,47.4,3.1,21,4.6,237,3.416666667,0.03,0.01,0,0,0
"Glutinous rice cake, Yaksik(Glutinous rice mixed with honey)",곡류및그제품,244,3.7,2.2,52.3,1.7,11,2.8,289,0,0.09,0.08,0,0,0
"Glutinous rice cake, Injeolmi(Cubed rice cake), With adzuki bean flour",곡류및그제품,204,4.2,0.9,44.8,0,16,1.9,269,0,0.06,0.02,0,0,0
"Glutinous rice cake, Injeolmi(Cubed rice cake), With soybean flour",곡류및그제품,231,5.52,1.15,49.69,2.1,12,0.33,337,0,0.04,0.03,0,559.42,77.01
"Glutinous rice cake, Chalsirutteok(Steamed glutinous rice cake with shreded red bean)",곡류및그제품,181,6.63,0.41,37.63,1.4,21,1.16,182,0.166666667,0.018,0.045,0,157.82,40.62
"Glutinous rice bread, Glutinous rice doughnuts",곡류및그제품,296,5,5.3,57.1,2.9,258,5.5,347,1.416666667,0.15,0.04,0,0,0
"Quinoa(Chenopodium quinoa Willd.), Steamed and dried",곡류및그제품,364,9.56,3.26,72.66,7.7,63,3.54,0,0.333333333,0.953,0.219,1.23,1646.4,188
"Barnyard millet(Echinochloa utilis Ohwi & Yabuno), IEC525(NO.5), Polished grain, Raw",곡류및그제품,376,8.5,4.6,73.9,0,39,3.2,10,0,1.67,0.26,0,0,0
"Rye(Secale cereale L.), Powder",곡류및그제품,351,8.5,1.6,75.8,12.9,25,1.5,1,0,0.15,0.07,0,620,87
"Rye(Secale cereale L.), Whole grain, Raw",곡류및그제품,334,15.9,1.5,70.7,0,10,6.4,2,0,0.26,0.16,0,0,0
"Rye(Secale cereale L.), bread",곡류및그제품,264,8.4,2.2,52.7,5.6,16,1.4,470,0,0.16,0.06,0,410,30
"Potato, Daeji, Raw",감자류및전분류,67,2.01,0.04,15.08,2.7,9,0.58,1,0,0.06,0.027,10.51,8.67,1.84
"Potato, Daeji, Boiled",감자류및전분류,77,2.07,0.08,17.39,1.6,8,0.65,1,0.666666667,0.04,0.022,9.92,37.56,8.66
"Potato, Daeji, Steamed",감자류및전분류,80,2.11,0.09,18.17,1.6,10,0.48,2,0.75,0.035,0.016,11.96,44.74,10.67
"Potato, Daeji, Baked",감자류및전분류,90,2.43,0.09,20.5,2,11,0.61,1,0.583333333,0.029,0.019,9.8,44.03,9.55
"Korean pancake mix, Potato starch ",감자류및전분류,355,12.1,1.4,73.6,0,11,2,18,0,0.23,0.07,0,0,0
"Potato, Sumi, Raw",감자류및전분류,70,1.93,0.03,16.07,1.7,6,0.4,1,0,0.034,0.038,4.47,7.78,1.89
"Potato, Sumi, Boiled",감자류및전분류,76,1.99,0.04,17.43,1.5,8,0.61,1,0,0.038,0.02,13.1,17.1,2.82
"Potato, Sumi, Steamed",감자류및전분류,75,1.94,0.05,17.28,1.4,6,0.42,0,0,0.025,0.02,5.8,17.44,3.21
"Potato, Sumi, Baked",감자류및전분류,85,2.3,0.08,19.38,1.8,8,0.52,0,0,0.038,0.022,12.38,39.17,8.43
"Potato, Purpled flesh, Raw",감자류및전분류,82,2.8,0,18.5,0,5,0.8,18,0,0.17,0.03,31,0,0
"Potato, Purpled flesh, Steamed",감자류및전분류,85,2.3,0,19.5,0,9,0.7,18,0,0.16,0.03,0,0,0
"Potato, Jasim, Raw",감자류및전분류,64,1.8,0,14.7,0,4,1.7,4,0,0.14,0.04,19,0,0
"Potato, Purple, Bora Valley, Raw",감자류및전분류,60,1.45,0.02,13.79,2.1,7,0.41,2,0,0.071,0.048,5.64,5.04,1.57
"Potato, Purple, Bora Valley, Steamed",감자류및전분류,69,1.39,0.05,15.97,1.6,7,0.34,2,0.916666667,0.064,0.015,5.64,25.12,8.91
"Potato, Red, Raw",감자류및전분류,68,2.25,0.03,15.18,1.7,5,0.51,0,0,0.05,0.065,0,5.54,1.91
"Potato, Red, Steamed",감자류및전분류,79,2.34,0.09,17.87,1.9,5,0.49,1,0.666666667,0.117,0.052,0,42.32,16.03
"Potato, Potato chip, Baked",감자류및전분류,469,5,18.2,71.4,4.8,125,0.8,554,0,0.34,0.07,0,0,0
"Potato, Potato chip, Deep-fried",감자류및전분류,536,4.95,30.33,60.92,4,20,1.14,342,1.5,0,0.012,15.34,10428.18,147.77
"Potato, Deep-fried",감자류및전분류,293,3.54,11.3,44.16,3,22,0.69,258,0.166666667,0.09,0.027,7.04,3079.85,576.48
"Potato, Hashed brown, Deep-fried",감자류및전분류,219,2.65,11.59,28.51,3.2,17,0.54,15,0,0.134,0.033,6.7,2292,369
"Potato, Potato salad",감자류및전분류,143,2.68,8.2,11.17,1.3,19,0.65,529,32,0.077,0.06,10,0,0
Mashed potato,감자류및전분류,83,1.91,0.57,17.57,1.5,24,0.27,302,7.166666667,0.089,0.041,6.2,0,0
"Sweet potato, Dried",감자류및전분류,312,2.3,0.1,75.7,0,4,3.5,0,0.416666667,0.13,0.1,18,0,0
"Sweet potato, Steamed",감자류및전분류,130,1.5,0,31.3,0,16,1,2,8.5,0.08,0.1,19,0,0
"Sweet potato, Beni haruka, Raw",감자류및전분류,147,1.03,0.45,34.91,2.8,23,0.55,13,0,0.085,0.02,44.82,28.18,4.04
"Sweet potato, Dry and firm type, Raw",감자류및전분류,154,1.01,0.11,37.19,2.7,15,0.45,7,2.666666667,0.065,0.027,7.12,42.38,5.49
"Sweet potato, Dry and firm type, Steamed",감자류및전분류,169,1.07,0.15,40.92,4.2,17,0.42,7,3.083333333,0.06,0.025,15.36,70.89,10.22
"Sweet potato, Dry and firm type, Baked",감자류및전분류,189,1.01,0.16,45.96,4.7,17,0.56,10,3.25,0.075,0.037,6.44,74.13,10.91
"Sweet potato, Sinyulmi, Raw",감자류및전분류,164,1,0.61,38.84,2.2,16,0.45,47,1.583333333,0.093,0.017,36.63,53.8,9.07
"Sweet potato, Sinjami, Raw",감자류및전분류,107,1.3,0.1,25.5,0,34,1.1,10,0.25,0.12,0.05,0,0,0
"Sweet potato, Yeonhwangmi, Raw",감자류및전분류,127,1.1,0,30.7,0,42,0.8,14,11.91666667,0.18,0.04,0,0,0
"Sweet potato, Moist and soft type, Raw",감자류및전분류,141,1.17,0.2,33.77,2,21,0.52,8,74.66666667,0.086,0.034,14.49,95.7,11.18
"Sweet potato, Moist and soft type, Steamed",감자류및전분류,157,1.1,0.15,37.91,3.4,23,0.46,5,46.08333333,0.108,0.031,30.62,78.55,8.46
"Sweet potato, Moist and soft type, Baked",감자류및전분류,186,1.25,0.16,44.98,3.7,21,0.66,9,65.5,0.132,0.051,14.49,82.27,8.94
"Sweet potato, Juhwangmi, Raw",감자류및전분류,105,1,0.1,25.1,0,28,0.9,14,818.8333333,0.15,0.04,0,0,0
"Sweet potato, Jinhongmi, Raw",감자류및전분류,140,1.2,0,33.8,0,43,0.8,9,2.583333333,0.15,0.03,1,0,0
"Noodle, Cellophane, Sweet potato starch, Dried",감자류및전분류,358,0.08,0.07,88.75,1.7,98,4.69,8,0,0,0,0.06,13.12,3.14
"Noodle, Cellophane, Sweet potato starch, Boiled",감자류및전분류,123,0.03,0.04,30.38,1.4,35,1.58,3,0,0,0.131,0.06,5.64,1.25
"Noodle, Cellophane, Sweet potato and potato starch, Dried",감자류및전분류,350,0,0.2,86.6,1.2,41,0.4,7,0,0,0,0,0,0
"Gonyak(Amorphophallus konjac) starch, Powder",감자류및전분류,177,3,0.1,85.3,79.9,57,2.1,18,0,0,0,0,0,0
"Gonyak(Amorphophallus konjac) jelly, Noodle shape, Raw",감자류및전분류,6,0.2,0,3,2.9,75,0.5,10,0,0,0,0,0,0
"Gonyak(Amorphophallus konjac) jelly, Block shape, Raw",감자류및전분류,6,0.12,0.01,3.06,2.4,67,0.11,2,0,0,0.09,0.1,0.92,0
"Jerusalem artichoke(Helianthus tuberosus), Raw",감자류및전분류,35,2.18,0.09,14.92,1.8,17,0.53,2,0,0.044,0.088,1.34,49.7,8.24
"Jerusalem artichoke(Helianthus tuberosus), Dried",감자류및전분류,172,10.43,0.46,74.35,9.9,87,3.49,10,0,0.425,1.36,7.11,232.69,55.2
"Jerusalem artichoke(Helianthus tuberosus), Boiled",감자류및전분류,39,2.23,0.11,17.16,2,20,0.63,2,0.416666667,0.042,0.081,2.77,63.22,15.04
"Yam(Dioscorea japonica Thunb.), Raw",감자류및전분류,63,1.84,0.12,14.05,2.4,9,0.44,4,0,0.119,0.053,3.84,32.63,3.8
"Yam(Dioscorea japonica Thunb.), Long type, Raw",감자류및전분류,45,1.56,0.28,9.55,1.8,15,0.22,3,0,0.053,0.031,1.42,21.88,3.64
"Yam(Dioscorea japonica Thunb.), Long type, Boiled",감자류및전분류,49,1.47,0.25,10.51,2.7,9,0.22,1,0,0.054,0.029,2.34,22.55,4.21
"Yam(Dioscorea japonica Thunb.), Round type, Raw",감자류및전분류,152,3.56,0.98,33.24,0,10,0.65,3,0,0.161,0.016,8.76,53.78,6.34
"Apios(Apios americana Medik.), Raw",감자류및전분류,175,6.1,0.5,38.2,0,67,2,31,0,0.19,0.05,21,0,0
"Yacon(Polymnia sonchifolia Poep. & Endl.), Roots, Raw",감자류및전분류,62,0.7,0.1,14.7,0,5,2.2,7,6.666666667,0.1,0.02,5,0,0
"Starches, Potato, powder",감자류및전분류,334,0.07,0.02,82.7,0,4,0.09,22,0,0,0,0,2.83,1.17
"Starches, Sweet potato, powder",감자류및전분류,342,0.1,0.2,84.4,0,62,2.6,3,0,0,0,0,0,0
"Starches, Wheat, powder",감자류및전분류,351,0.2,0.5,86,0,14,0.6,3,0,0,0,0,0,0
"Starches, Rice, powder",감자류및전분류,366,0.2,0.7,89.3,0,29,1.5,11,0,0,0,0,0,0
"Starches, Corn, powder",감자류및전분류,366,0.19,0.56,89.6,0.4,3,0.19,6,0.416666667,0,0,0,235.35,15.42
"Starches, Corn and wheat, powder",감자류및전분류,379,0.3,0,93.8,0.4,6,0.8,16,0,0.12,0.01,0,0,0
"Starches, Konara oak(Quercus serrata Murray) Acorn, powder",감자류및전분류,325,0.4,0.1,80.1,0,12,2.1,46,0,0.1,0.01,0,0,0
"Starches, Ring-cup oak(Quercus glauca Thunb.), Acorn, powder",감자류및전분류,332,2.3,1.7,77.3,0,24,6.2,3,0,0.09,0.15,0,0,0
"Starches, East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), powder",감자류및전분류,347,0.2,0.2,85.6,0,18,2,2,0,0,0,0,0,0
"Cheonma(Gastrodia elata Blume), Raw",감자류및전분류,77,0.9,0,18.5,0,16,0.9,8,0.166666667,0.1,0.05,92,0,0
"Cheonma(Gastrodia elata Blume), Steamed",감자류및전분류,81,1.1,0,19.3,0,16,0.5,7,0.416666667,0.11,0.04,96,0,0
"East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), Raw",감자류및전분류,137,2.48,0.1,32.05,4.4,383,2,0,1.5,0.152,0.02,4.66,37.56,9.8
"East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), Juice",감자류및전분류,21,0.44,0,4.91,0.4,44,0.07,3,0,0.124,0.009,0,0,0
"Taro(Colocasia esculenta (L.) Schott), Raw",감자류및전분류,71,2.08,0.14,15.77,2.8,11,0.59,2,0.833333333,0.081,0.022,1.21,67.66,7.71
"Taro(Colocasia esculenta (L.) Schott), Boiled",감자류및전분류,73,2.17,0.18,16.28,3,18,0.77,2,1,0.067,0.028,4.72,86.58,10.8
"Taro(Colocasia esculenta (L.) Schott), Steamed",감자류및전분류,76,2.4,0.17,16.75,2.9,19,0.81,2,1.416666667,0.073,0.024,6.44,82.72,9.67
"Jicama(Pachyrhizus erosus), Raw",감자류및전분류,44,0.68,0.06,10.36,0.7,13,0.23,1,0,0.027,0.11,3.37,27.47,3.43
"Jicama(Pachyrhizus erosus), Boiled",감자류및전분류,45,0.39,0.06,10.66,1.4,13,0.15,0,0,0.014,0.103,19.44,26.68,3.53
Fructose,당류,368,0,0,99.9,0,0,0,0,0,0,0,0,0,0
"Gum, Chewing gum",당류,388,0,0,96.9,0,3,0.1,3,0,0,0,0,0,0
"Gum, Bubble gum",당류,387,0,0,96.7,0,3,0.1,3,0,0,0,0,0,0
"Chewing Gum, Sugar free",당류,268,0,0.4,94.8,2.4,20,0,7,0,0,0,0,0,0
Honey,당류,294,0.2,0,79.7,0,1,1,6,0,0,0.01,0,0,0
"Honey, Perilla",당류,292,0.4,0,79,0,0,0,9,0,0.02,0.01,0,0,0
"Honey, Chestnut",당류,314,0.45,0.02,84.91,0.8,18,0.25,1,0,0,0.516,0.08,0,0
"Honey, Bush clover",당류,315,0.3,0,85.4,0,0,0,0,0,0.01,0.01,0,0,0
"Honey, Acacia",당류,319,0.12,0,86.49,0,3,0.02,0,0,0,0.403,0,0,0
"Honey, Polyfloral",당류,318,0.26,0.02,86.05,0,7,0.11,1,0,0,1.519,0,0,0
"Honey, Traditional",당류,313,0.38,0.02,84.73,0,10,0.14,1,0,0,1.417,0,0,0
Molasses,당류,265,0.2,0,68.2,0,0,0.7,10,0,0.01,0.02,0,0,0
Royal Jelly,당류,138,10.4,0.7,26.1,0,237,1.8,4,0,0.26,0.31,0,0,0
"Yeot(Crude maltose), Sweet potato",당류,263,1.6,0,69.7,0,4,0.5,6,0.333333333,0.23,0.09,0,0,0
Starch syrup,당류,321,0.02,0,83.03,0,0,0,0,0,0.007,0,0,0,0
"Candies, Drops",당류,379,0.31,0.55,97.57,0,25,0.06,44,0,0,0.377,0,65.28,1.28
"Candies, Marshmallow",당류,326,2.2,0,79.3,0,1,0.1,7,0,0,0,0,0,0
"Candies, Mint",당류,382,0.02,0.02,98.59,0,27,0,0,0,0,0.3,0,2.73,0
"Candies, Butter",당류,352,0.22,8.22,90.62,1.2,7,0.07,125,37,0,0.449,0,124.09,29.99
"Candies, Peanut",당류,354,0.23,7.14,91.2,2.6,7,0.21,271,0,0,0.195,0,1711.02,13.18
"Sugars, Powder",당류,389,0,0,99.77,0,1,0.06,2,0,0,0.019,0,0,0
"Sugars, Cube sugar",당류,387,0,0,100,0,0,0.1,0,0,0,0,0,0,0
"Sugars, White sugar",당류,387,0,0.01,99.96,0,4,0.13,1,0,0,0.594,0,0,0
"Sugars, Candy sugar",당류,387,0.1,0,99.9,0,1,0.2,2,0,0,0,0,0,0
"Sugars, Light brown sugar",당류,386,0,0.01,99.81,0,9,0.16,1,0,0,0,0,0,0
"Sugars, Dark brown sugar",당류,379,0.12,0.01,97.88,0,60,0.69,4,0,0.07,0.627,0,0,0
"Syrups, Maple",당류,260,0.04,0.06,67.04,0,102,0.11,12,0,0.066,1.27,0,0,0
"Syrups, Chocolate",당류,268,2.1,0.1,67.1,0,7,3.6,88,0,0.05,0.17,0,0,0
"Yanggaeng, Sweet red bean jelly",당류,298,3.37,0.14,73.44,4,18,0.77,2,0,0,0.126,0,45.88,24.89
"Gelatin, For dessert, Powder mix",당류,381,7.8,0,90.5,0,3,0.13,466,0,0.003,0.041,0,0,0
Jelly,당류,327,0,0.1,81.6,0,7,1.6,1,0,0,0.01,0,0,0
"Chochung, Korean traditional syrups, Persimmon",당류,201,3,0.1,47,0,97,12.9,12,0.75,0.38,0.79,44,0,0
"Chochung, Korean traditional syrups, Sweet potato",당류,289,1.38,0.35,77,1,4,0.3,3,0,0.141,0.088,1.01,114.34,5.64
"Chochung, Korean traditional syrups, Balloon flower roots",당류,323,1.7,0.1,86,0,14,0.4,19,0.083333333,0.2,0.13,0,0,0
"Chochung, Korean traditional syrups, Pears",당류,238,2.1,0,62.3,0,16,2.9,7,0,0.35,0.79,27,0,0
"Chochung, Korean traditional syrups, Goji berries",당류,299,0.3,0,80.9,0,34,1,7,2.583333333,0.34,0.86,33,0,0
"Chochung, Korean traditional syrups, Rice",당류,326,0.53,0.24,87.9,0,52,0.15,21,0,0.077,0.042,0,75.92,2.4
